,p,i,q,P,D,Q,score
102,0,1,0,2,1,0,0.9509028082227219
208,0,2,1,2,1,0,0.9507415123542329
395,1,1,2,2,0,1,0.9501746804216262
387,1,1,2,1,0,2,0.9500916325992548
360,1,1,1,1,0,2,0.9497255899475299
314,1,0,2,2,0,1,0.9497096719656254
359,1,1,1,1,0,1,0.949517677449863
386,1,1,2,1,0,1,0.9494977751798832
528,2,0,1,1,2,2,0.9494867254778407
530,2,0,1,2,0,1,0.9494809152690509
312,1,0,2,1,2,2,0.9494541285411732
106,0,1,0,2,2,1,0.9494383199864443
548,2,0,2,1,0,1,0.9492567179720923
604,2,1,1,1,1,1,0.9492429804340743
8,0,0,0,0,2,2,0.9492420448808214
303,1,0,2,0,2,2,0.9492063491012537
596,2,1,1,0,1,2,0.9491985948140093
399,1,1,2,2,1,2,0.949155646304861
389,1,1,2,1,1,1,0.9491528181471608
519,2,0,1,0,2,2,0.9491453382484012
605,2,1,1,1,1,2,0.9491445400723165
613,2,1,1,2,1,2,0.9491374677324225
363,1,1,1,1,1,2,0.9491205563220276
546,2,0,2,0,2,2,0.949115702385278
639,2,1,2,2,1,2,0.9490753854928075
381,1,1,2,0,1,2,0.9490702773443599
631,2,1,2,1,1,2,0.9490460606162194
610,2,1,1,2,0,1,0.9490325302886691
510,2,0,0,2,2,2,0.9489652116492713
62,0,0,2,0,2,2,0.9489573073973864
154,0,1,2,2,0,1,0.9489332393615584
321,1,0,2,2,2,2,0.9489278393303451
601,2,1,1,1,0,1,0.9489038849640687
249,1,0,0,0,2,2,0.9488787721397686
551,2,0,2,1,1,1,0.948870423410505
380,1,1,2,0,1,1,0.9488671945452658
343,1,1,0,2,1,0,0.9488332846155668
146,0,1,2,1,0,2,0.9488311004448452
700,2,2,2,0,1,2,0.9488100959011252
276,1,0,1,0,2,2,0.948796474150819
390,1,1,2,1,1,2,0.9487953847951145
492,2,0,0,0,2,2,0.9487949309490991
440,1,2,1,1,0,1,0.9487927181480303
560,2,0,2,2,1,2,0.9487719963364711
612,2,1,1,2,1,1,0.9487507978166706
451,1,2,1,2,1,0,0.9487286644147134
595,2,1,1,0,1,1,0.9487265872127779
543,2,0,2,0,1,2,0.9486967546579782
35,0,0,1,0,2,2,0.948663256979076
552,2,0,2,1,1,2,0.948653220820242
398,1,1,2,2,1,1,0.9486477268188347
362,1,1,1,1,1,1,0.9486168078314176
368,1,1,1,2,0,1,0.9485920727629302
119,0,1,1,1,0,2,0.9485726069095137
555,2,0,2,1,2,2,0.9485375654827704
630,2,1,2,1,1,1,0.9485326582119538
542,2,0,2,0,1,1,0.9484793950025607
521,2,0,1,1,0,1,0.9484398666980914
559,2,0,2,2,1,1,0.9484236906818131
602,2,1,1,1,0,2,0.9484150009026227
622,2,1,2,0,1,2,0.9484091497400368
372,1,1,1,2,1,2,0.9483835928899175
354,1,1,1,0,1,2,0.9483676764403242
449,1,2,1,2,0,1,0.9483379141958213
285,1,0,1,1,2,2,0.9482964101776814
441,1,2,1,1,0,2,0.9482189309958541
501,2,0,0,1,2,2,0.948141364452522
531,2,0,1,2,0,2,0.9480941978178614
371,1,1,1,2,1,1,0.9480744401499951
708,2,2,2,1,1,2,0.9479923212985968
638,2,1,2,2,1,1,0.9479920950426326
315,1,0,2,2,0,2,0.9479816855711454
71,0,0,2,1,2,2,0.9479499625863269
80,0,0,2,2,2,2,0.9478972429815669
705,2,2,2,1,0,2,0.9478664243103023
563,2,0,2,2,2,2,0.9478482736980757
341,1,1,0,2,0,1,0.947792121524445
347,1,1,0,2,2,1,0.947779739575401
342,1,1,0,2,0,2,0.9477447411183946
17,0,0,0,1,2,2,0.9477260867297862
26,0,0,0,2,2,2,0.9477038290370859
258,1,0,0,1,2,2,0.9477033979532936
267,1,0,0,2,2,2,0.9476648316160523
714,2,2,2,2,1,1,0.9475615841199285
525,2,0,1,1,1,2,0.947557298349848
326,1,1,0,0,1,1,0.9475340310564435
44,0,0,1,1,2,2,0.9475089989215253
53,0,0,1,2,2,2,0.9474738446730507
306,1,0,2,1,0,2,0.9474632561383168
127,0,1,1,2,0,1,0.9474608674240451
345,1,1,0,2,1,2,0.9474166860099013
332,1,1,0,1,0,1,0.9474130850912562
333,1,1,0,1,0,2,0.947404775547805
515,2,0,1,0,1,1,0.9473944066591217
444,1,2,1,1,1,2,0.9473470679451816
434,1,2,1,0,1,1,0.9473412487860386
4,0,0,0,0,1,1,0.9473085424012204
